Title,Link,Date Posted,Company,Location,Salary
Data Engineer,https://findajob.dwp.gov.uk/details/18190027,15 April 2026,Kids Planet Day Nurseries,WA13 0RN,Not specified
Data Engineer,https://findajob.dwp.gov.uk/details/18205005,17 April 2026,eTeach UK Limited,"Taunton, Somerset, TA6 4PZ","£37,514 - £40,444 per annum"
Data Engineer,https://findajob.dwp.gov.uk/details/18262263,29 April 2026,Derby College Group,"Derby, Derbyshire","£34,304 per annum"
Data Engineer,https://findajob.dwp.gov.uk/details/18231525,23 April 2026,ISS Facilities Services,"Canary Wharf, East London",Not specified
Data Engineer,https://findajob.dwp.gov.uk/details/18156171,09 April 2026,Salutem Care and Education,"Windsor, Home Counties, SL4","£40,000 per year"
Data Engineer,https://findajob.dwp.gov.uk/details/18197719,16 April 2026,Experis,"London, London, SW17 5JE",Not specified
Data Engineer,https://findajob.dwp.gov.uk/details/18260715,29 April 2026,NHS Jobs,"Cwmbran, NP44 3HR","£40,559.00 to £48,841.00 per year"
Data Engineer,https://findajob.dwp.gov.uk/details/18262756,29 April 2026,NHS Jobs,"Cwmbran, NP44 3HR","£40,559.00 to £48,841.00 per year"
API Data Engineer,https://findajob.dwp.gov.uk/details/18228440,23 April 2026,NatWest Group,"Manchester, M3 3AP",Not specified
API Data Engineer,https://findajob.dwp.gov.uk/details/18228441,23 April 2026,NatWest Group,"Edinburgh, EH12 1HQ",Not specified
