Title,Link,Date Posted,Company,Location,Salary,Job Type
Data Engineer,https://findajob.dwp.gov.uk/details/18190027,15 April 2026,Kids Planet Day Nurseries,WA13 0RN,Not specified,On-site only
Data Engineer,https://findajob.dwp.gov.uk/details/18205005,17 April 2026,eTeach UK Limited,"Taunton, Somerset, TA6 4PZ","£37,514 - £40,444 per annum",On-site only
Data Engineer,https://findajob.dwp.gov.uk/details/18262263,29 April 2026,Derby College Group,"Derby, Derbyshire","£34,304 per annum",On-site only
Data Engineer,https://findajob.dwp.gov.uk/details/18269118,30 April 2026,University of Oxford,"Oxford, Oxfordshire","£39,424 to £51,983 per year",Hybrid remote
Data Engineer,https://findajob.dwp.gov.uk/details/18231525,23 April 2026,ISS Facilities Services,"Canary Wharf, East London",Not specified,Hybrid remote
Data Engineer,https://findajob.dwp.gov.uk/details/18156171,09 April 2026,Salutem Care and Education,"Windsor, Home Counties, SL4","£40,000 per year",Permanent
Data Engineer,https://findajob.dwp.gov.uk/details/18197719,16 April 2026,Experis,"London, London, SW17 5JE",Not specified,Permanent
Data Engineer,https://findajob.dwp.gov.uk/details/18260715,29 April 2026,NHS Jobs,"Cwmbran, NP44 3HR","£40,559.00 to £48,841.00 per year",Contract
Data Engineer,https://findajob.dwp.gov.uk/details/18262756,29 April 2026,NHS Jobs,"Cwmbran, NP44 3HR","£40,559.00 to £48,841.00 per year",Contract
API Data Engineer,https://findajob.dwp.gov.uk/details/18228440,23 April 2026,NatWest Group,"Manchester, M3 3AP",Not specified,Permanent
API Data Engineer,https://findajob.dwp.gov.uk/details/18228441,23 April 2026,NatWest Group,"Edinburgh, EH12 1HQ",Not specified,Permanent
Lead Data Engineer,https://findajob.dwp.gov.uk/details/18228558,23 April 2026,Hippo Digital,"Manchester, North West, M2 1DH","£67,000 to £84,000 per year",Hybrid remote
Senior Data Engineer,https://findajob.dwp.gov.uk/details/18228562,23 April 2026,Hippo Digital,"Manchester, North West, M2 1DH","£57,000 to £64,000 per year",Hybrid remote
Snowflake Data Engineer,https://findajob.dwp.gov.uk/details/18234349,23 April 2026,Hays Specialist Recruitment,"London, London, EC2V 6DN",£600.0 to £750.0 per day,Contract
Senior Data Engineer,https://findajob.dwp.gov.uk/details/18269494,30 April 2026,NHS Jobs,"Salford, M6 8HP","£49,387.00 to £56,515.00 per year",Permanent
"Data Engineer, Analytics Engineering",https://findajob.dwp.gov.uk/details/18185056,15 April 2026,NatWest Group,"London, WC2R 0QS",Not specified,Permanent
