title,experience_level,company,location,city,date_posted,salary,link,job_type
Data Engineer,Entry-Level,Kids Planet Day Nurseries,WA13 0RN,WA13 0RN,2026-04-15,Not specified,https://findajob.dwp.gov.uk/details/18190027,On-site only
Data Engineer,Entry-Level,eTeach UK Limited,"Taunton, Somerset, TA6 4PZ",Taunton,2026-04-17,"£37,514 - £40,444 per annum",https://findajob.dwp.gov.uk/details/18205005,On-site only
Data Engineer,Entry-Level,Derby College Group,"Derby, Derbyshire",Derby,2026-04-29,"£34,304 per annum",https://findajob.dwp.gov.uk/details/18262263,On-site only
Data Engineer,Entry-Level,University of Oxford,"Oxford, Oxfordshire",Oxford,2026-04-30,"£39,424 to £51,983 per year",https://findajob.dwp.gov.uk/details/18269118,Hybrid remote
Data Engineer,Entry-Level,ISS Facilities Services,"Canary Wharf, East London",Canary Wharf,2026-04-23,Not specified,https://findajob.dwp.gov.uk/details/18231525,Hybrid remote
Data Engineer,Entry-Level,Salutem Care and Education,"Windsor, Home Counties, SL4",Windsor,2026-04-09,"£40,000 per year",https://findajob.dwp.gov.uk/details/18156171,Permanent
Data Engineer,Entry-Level,Experis,"London, London, SW17 5JE",London,2026-04-16,Not specified,https://findajob.dwp.gov.uk/details/18197719,Permanent
Data Engineer,Entry-Level,NHS Jobs,"Cwmbran, NP44 3HR",Cwmbran,2026-04-29,"£40,559.00 to £48,841.00 per year",https://findajob.dwp.gov.uk/details/18260715,Contract
Data Engineer,Entry-Level,NHS Jobs,"Cwmbran, NP44 3HR",Cwmbran,2026-04-29,"£40,559.00 to £48,841.00 per year",https://findajob.dwp.gov.uk/details/18262756,Contract
API Data Engineer,Entry-Level,NatWest Group,"Manchester, M3 3AP",Manchester,2026-04-23,Not specified,https://findajob.dwp.gov.uk/details/18228440,Permanent
API Data Engineer,Entry-Level,NatWest Group,"Edinburgh, EH12 1HQ",Edinburgh,2026-04-23,Not specified,https://findajob.dwp.gov.uk/details/18228441,Permanent
Lead Data Engineer,Lead,Hippo Digital,"Manchester, North West, M2 1DH",Manchester,2026-04-23,"£67,000 to £84,000 per year",https://findajob.dwp.gov.uk/details/18228558,Hybrid remote
Senior Data Engineer,Senior,Hippo Digital,"Manchester, North West, M2 1DH",Manchester,2026-04-23,"£57,000 to £64,000 per year",https://findajob.dwp.gov.uk/details/18228562,Hybrid remote
Snowflake Data Engineer,Entry-Level,Hays Specialist Recruitment,"London, London, EC2V 6DN",London,2026-04-23,£600.0 to £750.0 per day,https://findajob.dwp.gov.uk/details/18234349,Contract
Senior Data Engineer,Senior,NHS Jobs,"Salford, M6 8HP",Salford,2026-04-30,"£49,387.00 to £56,515.00 per year",https://findajob.dwp.gov.uk/details/18269494,Permanent
"Data Engineer, Analytics Engineering",Entry-Level,NatWest Group,"London, WC2R 0QS",London,2026-04-15,Not specified,https://findajob.dwp.gov.uk/details/18185056,Permanent
Data Engineer - Business Intelligence,Entry-Level,NHS Jobs,"Warwick, CV34 6RQ",Warwick,2026-04-22,"£55,000.00 to £62,000.00 per year",https://findajob.dwp.gov.uk/details/18225517,Permanent
Data Engineer (Snowflake/ AWS) - REMOTE,Entry-Level,Hays Specialist Recruitment,"London, London, EC2V 6DN",London,2026-04-24,£475.0 to £650.0 per day,https://findajob.dwp.gov.uk/details/18236827,Contract
Data Engineer (Spark/ Kubernetes) (Financial Services),Entry-Level,Hays Specialist Recruitment,"London, London, EC2V 6DN",London,2026-04-16,£625.0 to £745.0 per day,https://findajob.dwp.gov.uk/details/18196836,Contract
